Email No.,the,to,for,a,you,hou,is,this,i,your,we,are,com,please,price,attached,th,forward,u,click,unsubscribe,pro,therefore,cc,prize,hi,deadline,ur,Spam
Email 1,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
Email 2,8,13,6,102,1,27,13,0,61,0,9,4,3,2,0,1,15,3,53,0,0,4,0,3,0,4,0,24,0
Email 3,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Email 4,0,5,5,51,2,10,9,2,16,0,1,3,0,0,0,0,4,2,28,0,0,0,0,4,0,2,0,1,0
Email 5,7,6,5,57,0,9,2,2,30,0,0,2,0,1,0,0,12,2,26,0,0,0,1,2,0,2,0,5,0
Email 6,4,5,2,45,1,0,8,1,52,0,5,2,1,0,0,0,10,0,24,0,1,5,0,0,0,2,0,4,1
Email 7,5,3,2,37,0,0,6,2,27,0,1,0,0,1,0,0,9,0,8,0,0,0,0,0,0,2,0,0,0
Email 8,0,2,1,21,6,0,2,0,28,5,0,0,0,1,0,0,1,0,13,1,0,1,0,0,0,2,0,7,1
Email 9,2,2,0,18,0,0,2,1,15,0,2,0,0,0,0,0,4,0,5,0,0,0,0,0,0,1,0,0,0
Email 10,4,4,1,49,1,16,1,0,35,0,1,0,0,1,0,0,9,1,38,0,0,1,0,1,0,2,0,2,0
Email 11,22,14,2,104,0,2,21,9,96,0,4,2,5,0,0,0,43,0,22,0,0,5,0,5,0,9,0,4,0
Email 12,33,28,10,173,6,12,27,7,160,3,4,3,3,3,0,0,61,0,83,0,0,4,0,12,0,12,0,12,0
Email 13,27,17,5,106,3,0,16,5,102,2,1,1,2,2,0,0,45,0,42,0,0,2,0,8,0,7,0,5,0
Email 14,4,5,5,37,1,3,6,1,43,0,4,0,0,0,0,0,7,1,25,0,0,1,0,1,0,2,0,1,0
Email 15,2,4,3,16,0,3,1,0,19,0,0,0,0,0,0,0,2,1,15,0,0,0,0,1,0,0,0,0,0
Email 16,6,2,2,36,3,1,6,3,27,1,0,1,1,3,0,0,16,0,18,0,0,1,0,2,0,3,0,4,0
Email 17,3,1,0,17,0,0,0,0,5,0,1,1,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,1
Email 18,36,21,7,194,25,5,16,5,190,14,16,6,7,1,0,0,62,0,105,0,0,10,0,7,0,10,0,25,1
Email 19,1,3,2,14,0,0,5,3,13,0,1,0,0,1,0,0,4,0,3,0,0,0,0,0,0,3,0,0,0
Email 20,3,4,4,32,1,5,9,5,25,0,2,2,0,3,0,0,10,1,16,0,0,0,0,1,0,5,0,0,0
Email 21,0,0,0,15,1,0,1,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
Email 22,5,1,3,36,2,5,5,0,27,0,1,0,0,1,0,0,9,0,18,0,0,1,0,2,0,1,0,1,0
Email 23,0,3,5,30,0,2,0,0,15,0,0,0,0,1,0,0,3,2,21,0,0,0,0,2,0,0,0,0,0
Email 24,4,0,2,15,1,0,2,1,13,1,0,1,0,0,0,0,7,0,7,0,0,0,0,0,0,2,0,2,0
Email 25,0,0,4,10,0,0,1,0,2,0,0,1,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0
Email 26,12,53,18,287,0,2,47,6,300,0,2,2,5,1,0,0,29,2,66,0,0,4,0,2,0,11,0,4,1
Email 27,5,4,4,51,0,1,6,2,44,0,0,1,0,2,2,0,9,0,28,0,0,3,0,0,4,3,0,9,0
Email 28,1,1,1,14,1,0,1,0,13,0,0,0,1,0,0,1,2,1,5,0,0,3,0,1,0,2,0,0,0
Email 29,18,14,1,87,3,1,9,0,66,1,8,1,1,0,1,0,30,1,38,0,0,2,0,2,0,6,0,5,0
Email 30,9,11,3,83,2,22,8,5,59,0,5,0,0,0,0,0,27,1,55,0,0,3,0,3,0,6,0,7,0
Email 31,6,0,1,28,0,0,2,1,19,0,0,0,0,1,0,0,9,0,13,0,0,1,0,0,0,1,0,0,0
Email 32,0,1,0,8,0,0,1,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1
Email 33,21,14,9,191,15,19,47,11,137,2,7,1,1,10,0,0,73,3,125,0,0,2,1,6,0,14,0,6,0
Email 34,7,8,1,50,0,4,11,5,45,0,2,3,2,0,0,0,18,0,20,0,0,1,0,3,0,5,0,1,0
Email 35,6,6,1,39,0,1,10,5,37,0,2,1,2,0,0,0,15,0,12,0,0,1,0,1,0,5,0,1,0
Email 36,3,2,1,25,1,0,2,1,15,0,2,1,0,0,0,0,5,0,16,0,0,1,0,0,0,1,0,1,0
Email 37,11,6,4,71,4,5,7,3,45,2,3,2,1,3,0,2,22,1,28,0,0,4,1,1,0,3,0,2,0
Email 38,5,1,1,19,1,0,1,0,16,0,1,3,1,0,0,0,7,1,9,0,0,0,0,1,0,2,0,0,0
Email 39,7,2,1,27,1,1,3,1,18,1,1,1,0,1,0,0,10,0,16,0,0,1,0,0,0,1,0,6,0
Email 40,8,4,4,38,6,0,4,0,65,5,0,0,0,0,0,0,10,0,17,0,0,1,0,3,0,0,0,10,1
Email 41,2,3,1,45,0,0,10,2,37,0,0,0,1,0,0,0,4,0,13,0,0,0,0,0,0,3,0,3,1
Email 42,5,5,2,41,1,4,4,1,21,0,1,1,0,0,0,0,14,1,12,0,0,1,0,1,0,2,0,0,0
Email 43,4,1,0,23,2,0,1,0,24,0,3,3,0,0,0,0,7,0,9,0,0,0,0,0,0,3,0,0,0
Email 44,2,8,5,57,7,10,7,6,39,0,1,2,0,1,0,0,17,2,40,0,0,0,0,4,0,10,0,2,0
Email 45,7,8,6,48,3,1,9,5,30,0,0,1,0,1,0,0,18,0,12,0,0,2,0,0,0,8,0,2,0
Email 46,7,7,5,61,8,1,2,0,58,6,5,3,2,0,0,0,10,0,35,0,0,3,0,0,0,1,0,13,1
Email 47,4,0,4,21,0,0,0,0,9,0,0,0,1,0,0,0,9,0,13,0,0,0,0,0,0,0,0,1,0
Email 48,16,13,13,91,14,0,11,0,70,1,2,2,3,0,0,0,34,2,37,0,0,1,0,3,0,7,0,1,0
Email 49,13,9,6,48,3,0,8,1,48,1,1,0,1,0,0,0,21,1,17,0,0,3,0,1,0,6,0,4,0
Email 50,2,6,3,56,0,0,0,0,17,0,0,0,0,0,0,0,22,0,27,0,0,0,0,1,0,0,0,6,0
Email 51,5,5,2,23,0,3,1,0,22,0,0,0,2,1,0,0,5,0,9,0,0,1,0,0,0,2,0,2,0
Email 52,3,3,0,37,2,0,4,0,29,1,3,3,1,0,0,0,6,0,21,1,0,3,0,0,0,0,0,5,1
Email 53,10,8,6,52,7,0,4,0,51,2,1,0,0,0,0,0,16,0,25,0,0,1,1,0,0,0,0,9,0
Email 54,1,1,0,52,0,0,2,0,30,0,1,0,0,0,0,0,1,0,13,0,0,0,0,0,0,1,0,1,1
Email 55,60,38,23,278,17,0,26,1,186,1,16,6,3,0,1,0,97,2,97,0,0,4,0,3,0,15,0,6,0
Email 56,0,1,1,13,1,0,0,0,8,0,0,0,1,0,0,1,0,1,6,0,0,0,0,1,0,2,0,0,0
Email 57,0,5,1,12,0,2,0,0,10,0,0,0,1,0,0,1,0,1,12,0,0,0,0,1,0,2,0,2,0
Email 58,2,3,1,17,6,0,4,2,13,2,2,1,1,0,0,0,6,0,14,2,0,0,0,1,0,3,0,3,1
Email 59,0,1,1,21,0,2,1,0,16,0,0,1,0,0,0,0,1,1,7,0,0,0,0,1,0,2,0,0,0
Email 60,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Email 61,0,4,1,22,2,0,4,0,26,1,1,0,0,0,1,0,2,0,9,0,0,0,0,0,0,2,0,1,1
