,age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
0,25,4,226802,11th,7,4,7,3,2,1,0,0,40,39,0
1,38,4,89814,HS-grad,9,2,5,0,4,1,0,0,50,39,0
2,28,2,336951,Assoc-acdm,12,2,11,0,4,1,0,0,40,39,1
3,44,4,160323,Some-college,10,2,7,0,2,1,7688,0,40,39,1
4,18,0,103497,Some-college,10,4,0,3,4,0,0,0,30,39,0
5,34,4,198693,10th,6,4,8,1,4,1,0,0,30,39,0
6,29,0,227026,HS-grad,9,4,0,4,2,1,0,0,40,39,0
7,63,6,104626,Prof-school,15,2,10,0,4,1,3103,0,32,39,1
8,24,4,369667,Some-college,10,4,8,4,4,0,0,0,40,39,0
9,55,4,104996,7th-8th,4,2,3,0,4,1,0,0,10,39,0
10,65,4,184454,HS-grad,9,2,7,0,4,1,6418,0,40,39,1
11,36,1,212465,Bachelors,13,2,1,0,4,1,0,0,40,39,0
12,26,4,82091,HS-grad,9,4,1,1,4,0,0,0,39,39,0
13,58,0,299831,HS-grad,9,2,0,0,4,1,0,0,35,39,0
14,48,4,279724,HS-grad,9,2,7,0,4,1,3103,0,48,39,1
15,43,4,346189,Masters,14,2,4,0,4,1,0,0,50,39,1
16,20,7,444554,Some-college,10,4,8,3,4,1,0,0,25,39,0
17,43,4,128354,HS-grad,9,2,1,5,4,0,0,0,30,39,0
18,37,4,60548,HS-grad,9,6,7,4,4,0,0,0,20,39,0
19,40,4,85019,Doctorate,16,2,10,0,1,1,0,0,45,0,1
20,34,4,107914,Bachelors,13,2,13,0,4,1,0,0,47,39,1
21,34,4,238588,Some-college,10,4,8,3,2,0,0,0,35,39,0
22,72,0,132015,7th-8th,4,0,0,1,4,0,0,0,6,39,0
23,25,4,220931,Bachelors,13,4,10,1,4,1,0,0,43,29,0
24,25,4,205947,Bachelors,13,2,10,0,4,1,0,0,40,39,0
25,45,6,432824,HS-grad,9,2,3,0,4,1,7298,0,90,39,1
26,22,4,236427,HS-grad,9,4,1,3,4,1,0,0,20,39,0
27,23,4,134446,HS-grad,9,5,7,4,2,1,0,0,54,39,0
28,54,4,99516,HS-grad,9,2,3,0,4,1,0,0,35,39,0
29,32,6,109282,Some-college,10,4,10,1,4,1,0,0,60,39,0
30,46,7,106444,Some-college,10,2,4,0,2,1,7688,0,38,39,1
31,56,6,186651,11th,7,6,8,4,4,0,0,0,50,39,0
32,24,6,188274,Bachelors,13,4,12,1,4,1,0,0,50,39,0
33,23,2,258120,Some-college,10,2,11,0,4,1,0,0,40,39,0
34,26,4,43311,HS-grad,9,0,4,4,4,0,0,0,40,39,0
35,65,0,191846,HS-grad,9,2,0,0,4,1,0,0,40,39,0
36,36,2,403681,Bachelors,13,2,10,0,4,1,0,0,40,39,1
37,22,4,248446,5th-6th,3,4,9,1,4,1,0,0,50,13,0
38,17,4,269430,10th,6,4,7,1,4,1,0,0,40,39,0
39,20,4,257509,HS-grad,9,4,3,3,4,1,0,0,40,39,0
40,65,4,136384,Masters,14,2,10,0,4,1,0,0,50,39,1
41,44,5,120277,Assoc-voc,11,2,12,0,4,1,0,0,45,39,1
42,36,4,465326,HS-grad,9,2,5,0,4,1,0,0,40,39,0
43,29,4,103634,11th,7,2,8,0,4,1,0,0,40,39,0
44,20,7,138371,Some-college,10,4,5,3,4,1,0,0,32,39,0
45,28,4,242832,Assoc-voc,11,2,10,5,4,0,0,0,36,39,1
46,39,4,290208,7th-8th,4,2,3,0,4,1,0,0,40,26,0
47,54,4,186272,Some-college,10,2,14,0,4,1,3908,0,50,39,0
48,52,4,201062,11th,7,5,9,1,2,0,0,0,18,39,0
49,56,5,131916,HS-grad,9,6,4,1,4,0,0,0,50,39,0
50,18,4,54440,Some-college,10,4,8,3,4,1,0,0,20,39,0
51,39,4,280215,HS-grad,9,0,6,3,2,1,0,0,40,39,0
52,21,4,214399,Some-college,10,4,8,3,4,0,0,1721,24,39,0
53,22,4,54164,HS-grad,9,4,8,1,4,1,14084,0,60,39,1
54,38,4,219446,9th,5,3,4,1,4,1,0,0,54,26,0
55,21,4,110677,Some-college,10,4,1,3,4,0,0,0,40,39,0
56,63,4,145985,HS-grad,9,2,3,0,4,1,0,0,40,39,0
57,34,2,382078,Bachelors,13,2,4,0,4,1,3103,0,50,39,1
58,42,5,170721,HS-grad,9,2,4,0,4,1,5178,0,50,39,1
59,33,4,269705,HS-grad,9,2,6,0,4,1,0,0,40,39,0
60,30,4,101135,Bachelors,13,4,4,1,4,0,0,0,50,39,0
61,39,4,118429,Some-college,10,0,12,1,4,1,0,0,40,39,0
62,26,4,31208,Masters,14,4,4,1,4,0,0,0,40,39,0
63,33,4,281384,HS-grad,9,4,7,3,4,0,0,0,40,39,0
64,47,2,171807,HS-grad,9,0,1,1,4,0,0,0,40,39,0
65,41,4,109912,Bachelors,13,4,8,1,4,0,0,0,40,0,0
66,41,5,445382,Assoc-acdm,12,2,3,0,4,1,15024,0,60,39,1
67,19,4,105460,Some-college,10,4,8,3,4,1,0,0,20,39,0
68,46,4,170338,HS-grad,9,5,14,1,4,1,0,0,40,39,0
69,43,4,102606,HS-grad,9,2,12,0,4,1,0,0,48,39,0
70,55,4,323887,Some-college,10,2,4,0,4,1,15024,0,45,39,1
71,46,4,175622,Assoc-voc,11,2,13,0,4,1,0,0,40,39,0
72,30,4,229636,HS-grad,9,2,7,0,4,1,0,0,40,26,0
73,21,4,388946,Some-college,10,5,6,1,4,0,0,0,40,39,0
74,46,4,269034,Some-college,10,2,3,0,3,1,0,0,40,6,0
75,17,0,165361,10th,6,4,0,3,4,1,0,0,40,39,0
76,41,4,75012,HS-grad,9,2,7,0,4,1,0,0,50,39,0
77,69,5,174379,HS-grad,9,2,12,0,4,1,0,0,30,39,0
78,50,4,312477,HS-grad,9,2,14,0,4,1,0,0,40,39,0
79,20,4,72055,Some-college,10,4,1,1,4,0,0,0,40,39,0
80,45,5,67001,Some-college,10,2,7,0,4,1,0,0,50,39,0
81,23,4,213734,Bachelors,13,4,4,1,4,1,0,0,40,39,0
82,24,4,83141,Some-college,10,5,8,1,4,1,0,1876,40,39,0
83,44,5,223881,HS-grad,9,2,3,0,4,1,99999,0,50,0,1
84,31,6,113752,Some-college,10,2,3,0,4,1,0,0,50,39,0
85,43,4,170482,HS-grad,9,5,7,1,4,0,0,0,44,39,0
86,20,1,244689,11th,7,4,8,3,4,0,0,0,10,39,0
87,55,4,160631,HS-grad,9,2,12,0,4,1,0,0,56,39,1
88,24,1,228724,Some-college,10,4,2,1,4,1,0,0,40,39,0
89,41,0,38434,Masters,14,2,0,5,4,0,7688,0,10,39,1
90,59,4,292946,Bachelors,13,4,4,1,4,0,0,0,25,39,0
